PA,0-20,21-64,65+,total_pop
ANG MO KIO,26530,96050,39330,161910
BEDOK,50240,169290,60700,280230
BISHAN,16390,53440,18510,88340
BOON LAY,0,0,0,0
BUKIT BATOK,34930,106990,27440,169360
BUKIT MERAH,25340,89290,36210,150840
BUKIT PANJANG,28480,88950,22150,139580
BUKIT TIMAH,20130,47930,14770,82830
CENTRAL WATER CATCHMENT,0,0,0,0
CHANGI,510,990,200,1700
CHANGI BAY,0,0,0,0
CHOA CHU KANG,39780,127320,25010,192110
CLEMENTI,19410,58690,20610,98710
DOWNTOWN CORE,310,3170,330,3810
GEYLANG,19180,71670,24120,114970
HOUGANG,41150,143650,43540,228340
JURONG EAST,12470,46820,17200,76490
JURONG WEST,53880,166200,40260,260340
KALLANG,16640,61730,23380,101750
LIM CHU KANG,0,0,0,0
MANDAI,440,1360,310,2110
MARINA EAST,0,0,0,0
MARINA SOUTH,0,0,0,0
MARINE PARADE,9430,27630,9880,46940
MUSEUM,60,460,0,520
NEWTON,2270,6000,1380,9650
NORTH-EASTERN ISLANDS,0,0,0,0
NOVENA,10730,31510,9520,51760
ORCHARD,130,510,90,730
OUTRAM,2420,10060,4810,17290
PASIR RIS,29240,97930,20350,147520
PAYA LEBAR,0,0,0,0
PIONEER,0,0,0,0
PUNGGOL,55480,121960,17740,195180
QUEENSTOWN,17350,60260,22280,99890
RIVER VALLEY,2680,7790,1550,12020
ROCHOR,1820,8180,3080,13080
SELETAR,30,130,0,160
SEMBAWANG,27000,71100,11540,109640
SENGKANG,64010,163940,30410,258360
SERANGOON,20610,72370,26160,119140
SIMPANG,0,0,0,0
SINGAPORE RIVER,930,2510,300,3740
SOUTHERN ISLANDS,600,1590,200,2390
STRAITS VIEW,0,0,0,0
SUNGEI KADUT,60,360,130,550
TAMPINES,54060,173220,47490,274770
TANGLIN,5750,14640,3810,24200
TENGAH,0,0,0,0
TOA PAYOH,24370,81830,29380,135580
TUAS,0,0,0,0
WESTERN ISLANDS,0,0,0,0
WESTERN WATER CATCHMENT,120,400,0,520
WOODLANDS,54840,169590,31360,255790
YISHUN,47540,146590,35560,229690
