planning_area,destination,time_private
BEDOK,ION,21
BEDOK,SGH,21
BEDOK,CBD,17
BOON LAY,ION,24
BOON LAY,SGH,20
BOON LAY,CBD,23
BUKIT BATOK,ION,23
BUKIT BATOK,SGH,23
BUKIT BATOK,CBD,25
BUKIT MERAH,ION,11
BUKIT MERAH,SGH,5
BUKIT MERAH,CBD,10
BUKIT PANJANG,ION,20
BUKIT PANJANG,SGH,23
BUKIT PANJANG,CBD,22
BUKIT TIMAH,ION,14
BUKIT TIMAH,SGH,18
BUKIT TIMAH,CBD,15
CENTRAL WATER CATCHMENT,ION,24
CENTRAL WATER CATCHMENT,SGH,27
CENTRAL WATER CATCHMENT,CBD,25
CHANGI,ION,24
CHANGI,SGH,24
CHANGI,CBD,20
CHOA CHU KANG,ION,26
CHOA CHU KANG,SGH,29
CHOA CHU KANG,CBD,28
CLEMENTI,ION,18
CLEMENTI,SGH,15
CLEMENTI,CBD,18
HOUGANG,ION,20
HOUGANG,SGH,19
HOUGANG,CBD,19
JURONG EAST,ION,22
JURONG EAST,SGH,19
JURONG EAST,CBD,21
JURONG WEST,ION,26
JURONG WEST,SGH,22
JURONG WEST,CBD,25
PASIR RIS,ION,23
PASIR RIS,SGH,22
PASIR RIS,CBD,19
PIONEER,ION,29
PIONEER,SGH,25
PIONEER,CBD,28
PUNGGOL,ION,24
PUNGGOL,SGH,24
PUNGGOL,CBD,21
QUEENSTOWN,ION,14
QUEENSTOWN,SGH,16
QUEENSTOWN,CBD,19
SELETAR,ION,18
SELETAR,SGH,17
SELETAR,CBD,19
SEMBAWANG,ION,29
SEMBAWANG,SGH,29
SEMBAWANG,CBD,30
SENGKANG,ION,22
SENGKANG,SGH,21
SENGKANG,CBD,21
SERANGOON,ION,13
SERANGOON,SGH,13
SERANGOON,CBD,14
KALLANG,ION,14
KALLANG,SGH,14
KALLANG,CBD,9
LIM CHU KANG,ION,35
LIM CHU KANG,SGH,35
LIM CHU KANG,CBD,37
NORTH-EASTERN ISLANDS,ION,Error: ZERO_RESULTS
NORTH-EASTERN ISLANDS,SGH,Error: ZERO_RESULTS
NORTH-EASTERN ISLANDS,CBD,Error: ZERO_RESULTS
NOVENA,ION,14
NOVENA,SGH,13
NOVENA,CBD,14
SIMPANG,ION,25
SIMPANG,SGH,25
SIMPANG,CBD,26
SOUTHERN ISLANDS,ION,19
SOUTHERN ISLANDS,SGH,10
SOUTHERN ISLANDS,CBD,15
SUNGEI KADUT,ION,25
SUNGEI KADUT,SGH,28
SUNGEI KADUT,CBD,27
TOA PAYOH,ION,14
TOA PAYOH,SGH,14
TOA PAYOH,CBD,12
TUAS,ION,38
TUAS,SGH,35
TUAS,CBD,37
WESTERN ISLANDS,ION,40
WESTERN ISLANDS,SGH,37
WESTERN ISLANDS,CBD,39
WESTERN WATER CATCHMENT,ION,33
WESTERN WATER CATCHMENT,SGH,31
WESTERN WATER CATCHMENT,CBD,35
WOODLANDS,ION,25
WOODLANDS,SGH,25
WOODLANDS,CBD,26
RIVER VALLEY,ION,4
RIVER VALLEY,SGH,7
RIVER VALLEY,CBD,8
ROCHOR,ION,13
ROCHOR,SGH,13
ROCHOR,CBD,11
SINGAPORE RIVER,ION,8
SINGAPORE RIVER,SGH,5
SINGAPORE RIVER,CBD,8
STRAITS VIEW,ION,14
STRAITS VIEW,SGH,10
STRAITS VIEW,CBD,7
CHANGI BAY,ION,35
CHANGI BAY,SGH,34
CHANGI BAY,CBD,29
MARINE PARADE,ION,17
MARINE PARADE,SGH,16
MARINE PARADE,CBD,11
DOWNTOWN CORE,ION,9
DOWNTOWN CORE,SGH,12
DOWNTOWN CORE,CBD,2
MARINA EAST,ION,21
MARINA EAST,SGH,22
MARINA EAST,CBD,14
MARINA SOUTH,ION,18
MARINA SOUTH,SGH,14
MARINA SOUTH,CBD,11
MUSEUM,ION,23
MUSEUM,SGH,23
MUSEUM,CBD,25
NEWTON,ION,5
NEWTON,SGH,11
NEWTON,CBD,9
ORCHARD,ION,4
ORCHARD,SGH,11
ORCHARD,CBD,8
OUTRAM,ION,9
OUTRAM,SGH,5
OUTRAM,CBD,6
TAMPINES,ION,18
TAMPINES,SGH,18
TAMPINES,CBD,19
TANGLIN,ION,7
TANGLIN,SGH,10
TANGLIN,CBD,13
TENGAH,ION,28
TENGAH,SGH,26
TENGAH,CBD,30
MANDAI,ION,24
MANDAI,SGH,24
MANDAI,CBD,25
BISHAN,ION,17
BISHAN,SGH,15
BISHAN,CBD,17
ANG MO KIO,ION,19
ANG MO KIO,SGH,18
ANG MO KIO,CBD,20
GEYLANG,ION,17
GEYLANG,SGH,16
GEYLANG,CBD,16
PAYA LEBAR,ION,14
PAYA LEBAR,SGH,14
PAYA LEBAR,CBD,11
YISHUN,ION,24
YISHUN,SGH,24
YISHUN,CBD,25
