planning_area,destination,time_public
BEDOK,ION,37
BEDOK,SGH,44
BEDOK,CBD,28
BOON LAY,ION,57
BOON LAY,SGH,60
BOON LAY,CBD,56
BUKIT BATOK,ION,43
BUKIT BATOK,SGH,61
BUKIT BATOK,CBD,48
BUKIT MERAH,ION,21
BUKIT MERAH,SGH,20
BUKIT MERAH,CBD,26
BUKIT PANJANG,ION,32
BUKIT PANJANG,SGH,50
BUKIT PANJANG,CBD,40
BUKIT TIMAH,ION,35
BUKIT TIMAH,SGH,45
BUKIT TIMAH,CBD,38
CENTRAL WATER CATCHMENT,ION,Error: ZERO_RESULTS
CENTRAL WATER CATCHMENT,SGH,Error: ZERO_RESULTS
CENTRAL WATER CATCHMENT,CBD,Error: ZERO_RESULTS
CHANGI,ION,58
CHANGI,SGH,65
CHANGI,CBD,49
CHOA CHU KANG,ION,44
CHOA CHU KANG,SGH,56
CHOA CHU KANG,CBD,51
CLEMENTI,ION,34
CLEMENTI,SGH,37
CLEMENTI,CBD,32
HOUGANG,ION,40
HOUGANG,SGH,45
HOUGANG,CBD,41
JURONG EAST,ION,35
JURONG EAST,SGH,38
JURONG EAST,CBD,33
JURONG WEST,ION,51
JURONG WEST,SGH,54
JURONG WEST,CBD,49
PASIR RIS,ION,48
PASIR RIS,SGH,56
PASIR RIS,CBD,39
PIONEER,ION,55
PIONEER,SGH,58
PIONEER,CBD,54
PUNGGOL,ION,50
PUNGGOL,SGH,56
PUNGGOL,CBD,51
QUEENSTOWN,ION,31
QUEENSTOWN,SGH,34
QUEENSTOWN,CBD,29
SELETAR,ION,69
SELETAR,SGH,62
SELETAR,CBD,73
SEMBAWANG,ION,38
SEMBAWANG,SGH,62
SEMBAWANG,CBD,42
SENGKANG,ION,48
SENGKANG,SGH,53
SENGKANG,CBD,49
SERANGOON,ION,40
SERANGOON,SGH,50
SERANGOON,CBD,46
KALLANG,ION,29
KALLANG,SGH,37
KALLANG,CBD,20
LIM CHU KANG,ION,103
LIM CHU KANG,SGH,100
LIM CHU KANG,CBD,95
NORTH-EASTERN ISLANDS,ION,Error: ZERO_RESULTS
NORTH-EASTERN ISLANDS,SGH,Error: ZERO_RESULTS
NORTH-EASTERN ISLANDS,CBD,Error: ZERO_RESULTS
NOVENA,ION,16
NOVENA,SGH,39
NOVENA,CBD,20
SIMPANG,ION,61
SIMPANG,SGH,81
SIMPANG,CBD,65
SOUTHERN ISLANDS,ION,46
SOUTHERN ISLANDS,SGH,45
SOUTHERN ISLANDS,CBD,50
SUNGEI KADUT,ION,44
SUNGEI KADUT,SGH,74
SUNGEI KADUT,CBD,68
TOA PAYOH,ION,30
TOA PAYOH,SGH,53
TOA PAYOH,CBD,34
TUAS,ION,76
TUAS,SGH,78
TUAS,CBD,74
WESTERN ISLANDS,ION,Error: ZERO_RESULTS
WESTERN ISLANDS,SGH,Error: ZERO_RESULTS
WESTERN ISLANDS,CBD,Error: ZERO_RESULTS
WESTERN WATER CATCHMENT,ION,62
WESTERN WATER CATCHMENT,SGH,64
WESTERN WATER CATCHMENT,CBD,60
WOODLANDS,ION,40
WOODLANDS,SGH,58
WOODLANDS,CBD,51
RIVER VALLEY,ION,19
RIVER VALLEY,SGH,31
RIVER VALLEY,CBD,22
ROCHOR,ION,26
ROCHOR,SGH,29
ROCHOR,CBD,14
SINGAPORE RIVER,ION,23
SINGAPORE RIVER,SGH,25
SINGAPORE RIVER,CBD,17
STRAITS VIEW,ION,21
STRAITS VIEW,SGH,27
STRAITS VIEW,CBD,18
CHANGI BAY,ION,88
CHANGI BAY,SGH,96
CHANGI BAY,CBD,79
MARINE PARADE,ION,30
MARINE PARADE,SGH,43
MARINE PARADE,CBD,21
DOWNTOWN CORE,ION,22
DOWNTOWN CORE,SGH,29
DOWNTOWN CORE,CBD,16
MARINA EAST,ION,50
MARINA EAST,SGH,66
MARINA EAST,CBD,50
MARINA SOUTH,ION,25
MARINA SOUTH,SGH,30
MARINA SOUTH,CBD,24
MUSEUM,ION,54
MUSEUM,SGH,72
MUSEUM,CBD,77
NEWTON,ION,20
NEWTON,SGH,44
NEWTON,CBD,24
ORCHARD,ION,16
ORCHARD,SGH,26
ORCHARD,CBD,16
OUTRAM,ION,24
OUTRAM,SGH,23
OUTRAM,CBD,14
TAMPINES,ION,52
TAMPINES,SGH,60
TAMPINES,CBD,43
TANGLIN,ION,13
TANGLIN,SGH,31
TANGLIN,CBD,21
TENGAH,ION,69
TENGAH,SGH,72
TENGAH,CBD,67
MANDAI,ION,44
MANDAI,SGH,62
MANDAI,CBD,55
BISHAN,ION,20
BISHAN,SGH,38
BISHAN,CBD,35
ANG MO KIO,ION,37
ANG MO KIO,SGH,57
ANG MO KIO,CBD,41
GEYLANG,ION,31
GEYLANG,SGH,39
GEYLANG,CBD,22
PAYA LEBAR,ION,47
PAYA LEBAR,SGH,59
PAYA LEBAR,CBD,42
YISHUN,ION,33
YISHUN,SGH,56
YISHUN,CBD,37
